YearId,Year,Id,From,To,HowManyDays,HowManyWeeks
2022-4,2022,4,2022-09-06,2022-11-18,74,11
2022-5,2022,5,2022-11-28,2022-12-23,26,4
2023-1,2023,1,2023-01-03,2023-05-26,144,21
2023-2,2023,2,2023-05-30,2023-06-30,32,5
2023-3,2023,3,2023-07-10,2023-09-01,54,8
2023-4,2023,4,2023-09-05,2023-11-17,74,11
2023-5,2023,5,2023-11-27,2023-12-22,26,4
2024-1,2024,1,2024-01-02,2024-05-24,144,21
2024-2,2024,2,2024-05-28,2024-06-28,32,5
2024-3,2024,3,2024-07-08,2024-08-30,54,8
2024-4,2024,4,2024-09-03,2024-11-22,81,12
2024-5,2024,5,2024-12-02,2024-12-20,19,3
